tab_index,query,start_time,end_time,duration_s,status,notes,screenshot,exception
0,Python,2025-09-30T08:01:27.592171Z,2025-09-30T08:01:29.290834Z,1.698,ok, result_links=8,,
1,Selenium WebDriver,2025-09-30T08:01:29.834227Z,2025-09-30T08:01:30.851244Z,1.017,ok, result_links=8,,
2,OpenAI,2025-09-30T08:01:31.319888Z,2025-09-30T08:01:32.374498Z,1.055,ok, result_links=8,,
3,kotlin,2025-09-30T08:01:32.897251Z,2025-09-30T08:01:34.044840Z,1.148,ok, result_links=8,,
4,reactjs,2025-09-30T08:01:34.586588Z,2025-09-30T08:01:35.614581Z,1.028,ok, result_links=8,,
5,stress testing,2025-09-30T08:01:36.118064Z,2025-09-30T08:01:37.382969Z,1.265,ok, result_links=8,,
6,emoji 🐍🔥,2025-09-30T08:01:37.901982Z,2025-09-30T08:01:39.189300Z,1.287,ok, result_links=8,,
7,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2025-09-30T08:01:39.745337Z,2025-09-30T08:01:40.814659Z,1.069,ok, result_links=0,,
8,<script>alert('xss')</script>,2025-09-30T08:01:41.219662Z,2025-09-30T08:01:42.150791Z,0.931,ok, result_links=8,,
9,concurrency testing,2025-09-30T08:01:42.640444Z,2025-09-30T08:01:43.605845Z,0.965,ok, result_links=8,,
10,auto query 10,2025-09-30T08:01:44.086056Z,2025-09-30T08:01:45.125913Z,1.04,ok, result_links=7,,
11,auto query 11,2025-09-30T08:01:45.608175Z,2025-09-30T08:01:48.862144Z,3.254,ok, result_links=0,,
12,auto query 12,2025-09-30T08:01:49.337701Z,2025-09-30T08:01:50.378353Z,1.041,ok, result_links=0,,
13,auto query 13,2025-09-30T08:01:50.850815Z,2025-09-30T08:01:51.899284Z,1.048,ok, result_links=0,,
14,auto query 14,2025-09-30T08:01:52.368128Z,2025-09-30T08:01:53.429853Z,1.062,ok, result_links=0,,
15,auto query 15,2025-09-30T08:01:53.858932Z,2025-09-30T08:01:55.116315Z,1.257,ok, result_links=2,,
16,auto query 16,2025-09-30T08:01:55.550884Z,2025-09-30T08:01:56.555842Z,1.005,ok, result_links=5,,
17,auto query 17,2025-09-30T08:01:56.980895Z,2025-09-30T08:01:57.967390Z,0.986,ok, result_links=0,,
18,auto query 18,2025-09-30T08:01:58.380370Z,2025-09-30T08:01:59.448144Z,1.068,ok, result_links=0,,
19,auto query 19,2025-09-30T08:01:59.907689Z,2025-09-30T08:02:01.074344Z,1.167,ok, result_links=7,,
20,auto query 20,2025-09-30T08:02:01.549774Z,2025-09-30T08:02:02.735842Z,1.186,ok, result_links=4,,
21,auto query 21,2025-09-30T08:02:03.207043Z,2025-09-30T08:02:04.280164Z,1.073,ok, result_links=0,,
22,auto query 22,2025-09-30T08:02:04.758240Z,2025-09-30T08:02:05.748613Z,0.99,ok, result_links=0,,
23,auto query 23,2025-09-30T08:02:06.209636Z,2025-09-30T08:02:07.185157Z,0.975,ok, result_links=5,,
24,auto query 24,2025-09-30T08:02:07.676420Z,2025-09-30T08:02:09.020704Z,1.344,ok, result_links=6,,
25,auto query 25,2025-09-30T08:02:09.456831Z,2025-09-30T08:02:10.634841Z,1.178,ok, result_links=6,,
26,auto query 26,2025-09-30T08:02:11.074009Z,2025-09-30T08:02:12.300794Z,1.227,ok, result_links=0,,
27,auto query 27,2025-09-30T08:02:12.750022Z,2025-09-30T08:02:13.868024Z,1.118,ok, result_links=5,,
28,auto query 28,2025-09-30T08:02:14.347552Z,2025-09-30T08:02:15.395519Z,1.048,ok, result_links=0,,
29,auto query 29,2025-09-30T08:02:15.827126Z,2025-09-30T08:02:17.721843Z,1.895,ok, result_links=6,,
30,auto query 30,2025-09-30T08:02:18.164241Z,2025-09-30T08:02:19.200919Z,1.037,ok, result_links=0,,
31,auto query 31,2025-09-30T08:02:19.615349Z,2025-09-30T08:02:20.895486Z,1.28,ok, result_links=0,,
32,auto query 32,2025-09-30T08:02:21.314840Z,2025-09-30T08:02:22.376040Z,1.061,ok, result_links=8,,
33,auto query 33,2025-09-30T08:02:22.810115Z,2025-09-30T08:02:24.002518Z,1.192,ok, result_links=0,,
34,auto query 34,2025-09-30T08:02:24.420458Z,2025-09-30T08:02:25.524322Z,1.104,ok, result_links=0,,
35,auto query 35,2025-09-30T08:02:25.942866Z,2025-09-30T08:02:27.041427Z,1.099,ok, result_links=0,,
